Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest (Sharpe/Clenow 70%/30% blend):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,011,839 | RS: 0.53 | N=19 | Held: 19
  [2/471] Aug 2017 | Eq:    2,126,150 | RS: 0.48 | N=17 | Held: 19
  [3/471] Sep 2017 | Eq:    2,167,927 | RS: 0.58 | N=20 | Held: 20
  [4/471] Sep 2017 | Eq:    2,250,978 | RS: 0.58 | N=20 | Held: 20
  [5/471] Sep 2017 | Eq:    2,222,283 | RS: 0.61 | N=21 | Held: 21
  [6/471] Sep 2017 | Eq:    2,231,341 | RS: 0.54 | N=19 | Held: 20
  [7/471] Sep 2017 | Eq:    2,414,411 | RS: 0.52 | N=18 | Held: 20
  [294/471] Mar 2023 | Eq:   14,160,512 | RS: 0.41 | N=15 | Held: 15
  [295/471] Apr 2023 | Eq:   14,168,705 | RS: 0.49 | N=18 | Held: 18
  [296/471] Apr 2023 | Eq:   14,368,997 | RS: 0.50 | N=18 | Held: 18
  [297/471] Apr 2023 | Eq:   14,667,594 | RS: 0.53 | N=19 | Held: 19
  [298/471] Apr 2023 | Eq:   14,903,378 | RS: 0.60 | N=20 | Held: 20
  [299/471] May 2023 | Eq:   14,816,309 | RS: 0.61 | N=21 | Held: 21
  [300/471] May 2023 | Eq:   15,016,551 | RS: 0.62 | N=21 | Held: 21
  [301/471] May 2023 | Eq:   15,212,348 | RS: 0.61 | N=21 | Held: 21
  [302/471] May 2023 | Eq:   15,708,714 | RS: 0.63 | N=21 | Held: 21
  [303/471] Jun 2023 | Eq:   16,029,937 | RS: 0.67 | N=22 | Held: 22
  [304/471] Jun 2023 | Eq:   16,496,859 | RS: 0.68 | N=23 | Held: 23
  [305/471] Jun 2023 | Eq:   16,359,615 | RS: 0.71 | N=23 | Held: 23
  [306/471] Jun 2023 | Eq:   17,009,951 | RS: 0.68 | N=23 | Held: 23
  [307/471] Jun 2023 | Eq:   17,123,003 | RS: 0.71 | N=24 | Held: 24
  [308/471] Jul 2023 | Eq:   18,010,263 | RS: 0.73 | N=24 | Held: 24
  [309/471] Jul 2023 | Eq:   18,508,768 | RS: 0.72 | N=24 | Held: 24
  [310/471] Jul 2023 | Eq:   19,287,891 | RS: 0.73 | N=24 | Held: 24
  [311/471] Jul 2023 | Eq:   19,634,928 | RS: 0.73 | N=24 | Held: 24
  [312/471] Aug 2023 | Eq:   20,198,975 | RS: 0.74 | N=24 | Held: 24
  [313/471] Aug 2023 | Eq:   20,551,469 | RS: 0.72 | N=24 | Held: 24
  [314/471] Aug 2023 | Eq:   21,486,729 | RS: 0.69 | N=23 | Held: 23
  [315/471] Aug 2023 | Eq:   22,274,261 | RS: 0.71 | N=24 | Held: 24
  [316/471] Sep 2023 | Eq:   23,075,370 | RS: 0.76 | N=25 | Held: 25
  [317/471] Sep 2023 | Eq:   22,514,340 | RS: 0.78 | N=25 | Held: 25
  [318/471] Sep 2023 | Eq:   22,224,745 | RS: 0.78 | N=25 | Held: 25
  [319/471] Sep 2023 | Eq:   22,776,698 | RS: 0.72 | N=24 | Held: 24
  [320/471] Sep 2023 | Eq:   23,376,504 | RS: 0.73 | N=24 | Held: 24
  [321/471] Oct 2023 | Eq:   23,950,296 | RS: 0.73 | N=24 | Held: 24
  [322/471] Oct 2023 | Eq:   24,415,459 | RS: 0.73 | N=24 | Held: 24
  [323/471] Oct 2023 | Eq:   23,780,437 | RS: 0.70 | N=23 | Held: 23
  [324/471] Oct 2023 | Eq:   24,476,989 | RS: 0.62 | N=21 | Held: 22
  [325/471] Nov 2023 | Eq:   25,296,374 | RS: 0.65 | N=22 | Held: 22
  [326/471] Nov 2023 | Eq:   26,846,319 | RS: 0.69 | N=23 | Held: 23
  [327/471] Nov 2023 | Eq:   26,680,379 | RS: 0.72 | N=24 | Held: 24
  [328/471] Nov 2023 | Eq:   27,440,360 | RS: 0.72 | N=24 | Held: 24
  [329/471] Dec 2023 | Eq:   27,852,041 | RS: 0.76 | N=25 | Held: 25
  [330/471] Dec 2023 | Eq:   28,609,611 | RS: 0.77 | N=25 | Held: 25
  [331/471] Dec 2023 | Eq:   28,593,179 | RS: 0.78 | N=25 | Held: 25
  [332/471] Dec 2023 | Eq:   29,291,127 | RS: 0.76 | N=25 | Held: 25
  [333/471] Dec 2023 | Eq:   30,746,722 | RS: 0.77 | N=25 | Held: 25
  [334/471] Jan 2024 | Eq:   31,433,803 | RS: 0.79 | N=25 | Held: 25
  [335/471] Jan 2024 | Eq:   31,743,159 | RS: 0.78 | N=25 | Held: 25
  [336/471] Jan 2024 | Eq:   32,248,764 | RS: 0.75 | N=24 | Held: 24
  [337/471] Jan 2024 | Eq:   33,646,070 | RS: 0.55 | N=19 | Held: 22
  [338/471] Feb 2024 | Eq:   34,730,392 | RS: 0.74 | N=24 | Held: 24
  [339/471] Feb 2024 | Eq:   34,907,499 | RS: 0.73 | N=24 | Held: 24
  [340/471] Feb 2024 | Eq:   35,877,893 | RS: 0.72 | N=24 | Held: 24
  [341/471] Feb 2024 | Eq:   36,059,158 | RS: 0.72 | N=24 | Held: 24
  [342/471] Mar 2024 | Eq:   35,730,682 | RS: 0.70 | N=23 | Held: 23
  [343/471] Mar 2024 | Eq:   33,259,487 | RS: 0.54 | N=19 | Held: 20
  [344/471] Mar 2024 | Eq:   33,539,052 | RS: 0.54 | N=19 | Held: 19
  [345/471] Mar 2024 | Eq:   34,420,693 | RS: 0.59 | N=20 | Held: 20
  [346/471] Mar 2024 | Eq:   35,931,651 | RS: 0.53 | N=19 | Held: 20
  [347/471] Apr 2024 | Eq:   36,469,293 | RS: 0.73 | N=24 | Held: 24
  [348/471] Apr 2024 | Eq:   36,263,942 | RS: 0.70 | N=23 | Held: 24
  [349/471] Apr 2024 | Eq:   37,693,515 | RS: 0.64 | N=22 | Held: 23
  [350/471] Apr 2024 | Eq:   37,905,515 | RS: 0.71 | N=24 | Held: 24
  [351/471] May 2024 | Eq:   36,757,925 | RS: 0.69 | N=23 | Held: 24
  [352/471] May 2024 | Eq:   38,362,679 | RS: 0.61 | N=21 | Held: 22
  [353/471] May 2024 | Eq:   38,779,564 | RS: 0.68 | N=23 | Held: 23
  [354/471] May 2024 | Eq:   38,097,636 | RS: 0.68 | N=23 | Held: 23
  [355/471] May 2024 | Eq:   38,057,810 | RS: 0.63 | N=21 | Held: 21
  [356/471] Jun 2024 | Eq:   41,003,028 | RS: 0.71 | N=23 | Held: 23
  [357/471] Jun 2024 | Eq:   41,537,480 | RS: 0.77 | N=25 | Held: 25
  [358/471] Jun 2024 | Eq:   42,769,304 | RS: 0.77 | N=25 | Held: 25
  [359/471] Jun 2024 | Eq:   45,376,282 | RS: 0.75 | N=24 | Held: 24
  [360/471] Jul 2024 | Eq:   43,774,975 | RS: 0.78 | N=25 | Held: 25
  [361/471] Jul 2024 | Eq:   40,854,501 | RS: 0.76 | N=25 | Held: 25
  [362/471] Jul 2024 | Eq:   42,281,434 | RS: 0.70 | N=23 | Held: 23
  [363/471] Jul 2024 | Eq:   43,319,954 | RS: 0.76 | N=25 | Held: 25
  [364/471] Aug 2024 | Eq:   42,430,499 | RS: 0.74 | N=24 | Held: 24
  [365/471] Aug 2024 | Eq:   43,195,176 | RS: 0.68 | N=23 | Held: 23
  [366/471] Aug 2024 | Eq:   44,285,707 | RS: 0.66 | N=22 | Held: 22
  [367/471] Aug 2024 | Eq:   44,928,528 | RS: 0.72 | N=24 | Held: 24
  [368/471] Aug 2024 | Eq:   44,909,214 | RS: 0.72 | N=24 | Held: 24
  [369/471] Sep 2024 | Eq:   45,617,511 | RS: 0.68 | N=23 | Held: 23
  [370/471] Sep 2024 | Eq:   45,226,146 | RS: 0.72 | N=24 | Held: 24
  [371/471] Sep 2024 | Eq:   48,431,820 | RS: 0.69 | N=23 | Held: 23
  [372/471] Sep 2024 | Eq:   47,018,151 | RS: 0.69 | N=23 | Held: 23
  [373/471] Oct 2024 | Eq:   48,075,350 | RS: 0.62 | N=21 | Held: 22
  [374/471] Oct 2024 | Eq:   48,564,873 | RS: 0.64 | N=21 | Held: 21
  [375/471] Oct 2024 | Eq:   45,112,574 | RS: 0.62 | N=21 | Held: 21
  [376/471] Oct 2024 | Eq:   46,943,441 | RS: 0.49 | N=17 | Held: 17
  [377/471] Nov 2024 | Eq:   46,713,740 | RS: 0.57 | N=20 | Held: 20
  [378/471] Nov 2024 | Eq:   43,981,895 | RS: 0.54 | N=19 | Held: 19
  [379/471] Nov 2024 | Eq:   44,876,196 | RS: 0.51 | N=18 | Held: 18
  [380/471] Nov 2024 | Eq:   47,097,527 | RS: 0.47 | N=17 | Held: 18
  [381/471] Nov 2024 | Eq:   49,062,335 | RS: 0.56 | N=19 | Held: 19
  [382/471] Dec 2024 | Eq:   50,013,878 | RS: 0.64 | N=22 | Held: 22
  [383/471] Dec 2024 | Eq:   48,713,044 | RS: 0.62 | N=21 | Held: 21
  [384/471] Dec 2024 | Eq:   48,872,179 | RS: 0.51 | N=18 | Held: 18
  [385/471] Dec 2024 | Eq:   49,265,804 | RS: 0.51 | N=18 | Held: 18
  [386/471] Jan 2025 | Eq:   46,416,091 | RS: 0.55 | N=19 | Held: 19
  [387/471] Jan 2025 | Eq:   45,919,885 | RS: 0.44 | N=16 | Held: 19
  [388/471] Jan 2025 | Eq:   42,684,425 | RS: 0.42 | N=16 | Held: 18
  [389/471] Jan 2025 | Eq:   42,705,293 | RS: 0.37 | N=14 | Held: 12
  [390/471] Jan 2025 | Eq:   42,736,235 | RS: 0.38 | N=15 | Held:  8
  [391/471] Feb 2025 | Eq:   39,616,380 | RS: 0.41 | N=16 | Held: 16
  [392/471] Feb 2025 | Eq:   39,656,582 | RS: 0.29 | N=12 | Held: 15
  [393/471] Feb 2025 | Eq:   39,688,339 | RS: 0.31 | N=13 | Held: 12
  [394/471] Feb 2025 | Eq:   39,723,307 | RS: 0.27 | N=12 | Held: 10
  [395/471] Mar 2025 | Eq:   39,759,900 | RS: 0.31 | N=13 | Held:  8
  [396/471] Mar 2025 | Eq:   41,769,323 | RS: 0.46 | N=17 | Held: 17
  [397/471] Mar 2025 | Eq:   41,814,847 | RS: 0.40 | N=15 | Held: 17
  [398/471] Mar 2025 | Eq:   41,860,944 | RS: 0.39 | N=15 | Held: 17
  [399/471] Apr 2025 | Eq:   41,902,950 | RS: 0.36 | N=14 | Held: 16
  [400/471] Apr 2025 | Eq:   41,939,780 | RS: 0.37 | N=14 | Held: 14
  [401/471] Apr 2025 | Eq:   41,471,545 | RS: 0.49 | N=17 | Held: 17
  [402/471] Apr 2025 | Eq:   41,140,154 | RS: 0.47 | N=17 | Held: 17
  [403/471] May 2025 | Eq:   40,861,327 | RS: 0.44 | N=16 | Held: 16
  [404/471] May 2025 | Eq:   41,937,969 | RS: 0.41 | N=15 | Held: 16
  [405/471] May 2025 | Eq:   42,104,230 | RS: 0.60 | N=20 | Held: 20
  [406/471] May 2025 | Eq:   42,947,054 | RS: 0.60 | N=20 | Held: 20
  [407/471] May 2025 | Eq:   42,379,139 | RS: 0.60 | N=20 | Held: 20
  [408/471] Jun 2025 | Eq:   42,464,805 | RS: 0.63 | N=21 | Held: 21
  [409/471] Jun 2025 | Eq:   42,680,383 | RS: 0.61 | N=21 | Held: 21
  [410/471] Jun 2025 | Eq:   43,253,613 | RS: 0.56 | N=19 | Held: 19
  [411/471] Jun 2025 | Eq:   43,391,942 | RS: 0.64 | N=22 | Held: 22
  [412/471] Jul 2025 | Eq:   42,338,772 | RS: 0.65 | N=22 | Held: 22
  [413/471] Jul 2025 | Eq:   42,587,177 | RS: 0.63 | N=21 | Held: 21
  [414/471] Jul 2025 | Eq:   42,080,812 | RS: 0.65 | N=22 | Held: 22
  [415/471] Jul 2025 | Eq:   41,323,624 | RS: 0.55 | N=19 | Held: 19
  [416/471] Aug 2025 | Eq:   41,958,383 | RS: 0.49 | N=18 | Held: 18
  [417/471] Aug 2025 | Eq:   43,104,405 | RS: 0.46 | N=17 | Held: 18
  [418/471] Aug 2025 | Eq:   43,604,953 | RS: 0.51 | N=18 | Held: 18
  [419/471] Aug 2025 | Eq:   42,890,141 | RS: 0.52 | N=18 | Held: 18
  [420/471] Aug 2025 | Eq:   42,783,591 | RS: 0.46 | N=17 | Held: 17
  [421/471] Sep 2025 | Eq:   43,715,172 | RS: 0.51 | N=18 | Held: 18
  [422/471] Sep 2025 | Eq:   44,651,856 | RS: 0.55 | N=19 | Held: 19
  [423/471] Sep 2025 | Eq:   42,680,705 | RS: 0.61 | N=21 | Held: 21
  [424/471] Sep 2025 | Eq:   43,053,676 | RS: 0.47 | N=17 | Held: 18
  [425/471] Oct 2025 | Eq:   43,436,557 | RS: 0.53 | N=19 | Held: 19
  [426/471] Oct 2025 | Eq:   42,870,627 | RS: 0.54 | N=19 | Held: 19
  [427/471] Oct 2025 | Eq:   42,566,203 | RS: 0.53 | N=19 | Held: 19
  [428/471] Oct 2025 | Eq:   42,906,712 | RS: 0.55 | N=19 | Held: 19
  [429/471] Oct 2025 | Eq:   42,852,918 | RS: 0.56 | N=19 | Held: 19
  [430/471] Nov 2025 | Eq:   43,527,395 | RS: 0.52 | N=18 | Held: 18
  [431/471] Nov 2025 | Eq:   42,064,463 | RS: 0.53 | N=19 | Held: 19
  [432/471] Nov 2025 | Eq:   42,451,693 | RS: 0.48 | N=17 | Held: 17
  [433/471] Nov 2025 | Eq:   41,467,889 | RS: 0.50 | N=18 | Held: 18
  [434/471] Dec 2025 | Eq:   41,483,574 | RS: 0.46 | N=17 | Held: 17
  [435/471] Dec 2025 | Eq:   41,954,396 | RS: 0.46 | N=17 | Held: 17
  [436/471] Dec 2025 | Eq:   41,983,232 | RS: 0.46 | N=17 | Held: 17
  [437/471] Dec 2025 | Eq:   42,287,547 | RS: 0.48 | N=17 | Held: 17
  [438/471] Jan 2026 | Eq:   41,588,708 | RS: 0.52 | N=18 | Held: 18
  [439/471] Jan 2026 | Eq:   42,531,580 | RS: 0.43 | N=16 | Held: 18
  [440/471] Jan 2026 | Eq:   41,523,936 | RS: 0.43 | N=16 | Held: 17
  [441/471] Jan 2026 | Eq:   41,566,913 | RS: 0.35 | N=14 | Held: 16
  [442/471] Jan 2026 | Eq:   41,283,476 | RS: 0.40 | N=15 | Held: 16
  [443/471] Feb 2026 | Eq:   41,352,233 | RS: 0.44 | N=16 | Held: 16
  [444/471] Feb 2026 | Eq:   41,337,822 | RS: 0.45 | N=16 | Held: 16
  [445/471] Feb 2026 | Eq:   41,357,429 | RS: 0.46 | N=17 | Held: 17
  [446/471] Feb 2026 | Eq:   40,412,022 | RS: 0.44 | N=16 | Held: 16
  [447/471] Mar 2026 | Eq:   40,451,903 | RS: 0.38 | N=15 | Held: 15
  [448/471] Mar 2026 | Eq:   40,489,447 | RS: 0.34 | N=14 | Held: 13
  [449/471] Mar 2026 | Eq:   40,531,773 | RS: 0.35 | N=14 | Held: 12
  [450/471] Mar 2026 | Eq:   40,573,163 | RS: 0.33 | N=13 | Held: 11
  [451/471] Apr 2026 | Eq:   43,646,692 | RS: 0.50 | N=18 | Held: 18
  [452/471] Apr 2026 | Eq:   45,652,303 | RS: 0.50 | N=18 | Held: 18
  [453/471] Apr 2026 | Eq:   45,910,378 | RS: 0.59 | N=20 | Held: 20
  [454/471] Apr 2026 | Eq:   47,902,313 | RS: 0.56 | N=19 | Held: 20
  [455/471] May 2026 | Eq:   49,810,628 | RS: 0.52 | N=18 | Held: 19
  [456/471] May 2026 | Eq:   49,674,738 | RS: 0.62 | N=21 | Held: 21
  [457/471] May 2026 | Eq:   51,055,466 | RS: 0.53 | N=19 | Held: 20
  [458/471] May 2026 | Eq:   53,185,921 | RS: 0.52 | N=18 | Held: 18
  [459/471] May 2026 | Eq:   53,612,582 | RS: 0.53 | N=19 | Held: 19
  [460/471] Jun 2026 | Eq:   51,995,126 | RS: 0.51 | N=18 | Held: 18
  [461/471] Jun 2026 | Eq:   54,626,799 | RS: 0.52 | N=18 | Held: 18
  [462/471] Jun 2026 | Eq:   54,719,569 | RS: 0.60 | N=20 | Held: 20
  [463/471] Jun 2026 | Eq:   54,051,546 | RS: 0.53 | N=19 | Held: 19
  [464/471] Jul 2026 | Eq:   54,886,701 | RS: 0.60 | N=21 | Held: 21
  [465/471] Jul 2026 | Eq:   53,393,175 | RS: 0.60 | N=21 | Held: 21
  [466/471] Jul 2026 | Eq:   52,356,780 | RS: 0.58 | N=20 | Held: 20
  [467/471] Jul 2026 | Eq:   52,966,110 | RS: 0.54 | N=19 | Held: 19
  [468/471] Jul 2026 | Eq:   55,713,245 | RS: 0.57 | N=20 | Held: 20
  [469/471] Aug 2026 | Eq:   56,349,960 | RS: 0.60 | N=21 | Held: 21
  [470/471] Aug 2026 | Eq:   57,370,657 | RS: 0.58 | N=20 | Held: 20
  [471/471] Aug 2026 | Eq:   58,432,589 | RS: 0.57 | N=20 | Held: 20

--------------------------------------------------------------------------------

Backtest complete!

Results saved to C:\Users\ameet\Documents\Github\code\momentum\Sharpe\backtest results\run_blend_70s30c_2026-09-09_15-50-47\backtest_results.csv



=== PERFORMANCE SUMMARY (70% Sharpe COMPOSITE / 30% Clenow) ===

Period: Aug 2017 to Aug 2026 (9.02 years)

Strategy CAGR:      45.3%  |  Max Drawdown: -20.8%

NIFTY500 CAGR:      11.8%  |  Max Drawdown: -34.4%

===========================



Equity curve saved to C:\Users\ameet\Documents\Github\code\momentum\Sharpe\backtest results\run_blend_70s30c_2026-09-09_15-50-47\equity_curve.png

